Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Gia_trieu,Tuổi xe
SYM,Dòng khác,2019,17000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,4.0,6
Yamaha,Sirius,2019,36000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,12.0,6
Yamaha,Mio,2009,24863,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,7.5,16
Honda,Air Blade,2023,5678,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,9.8,2
Piaggio,Vespa,2022,6454,Đã sử dụng,Tay ga,Không biết rõ,Nước khác,62.0,3
Hãng khác,Dòng khác,2007,100000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,2.2,18
Honda,Sonic,2021,38000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,25.0,4
Honda,Sonic,2021,380000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,25.0,4
Honda,SH,2022,10224,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,85.0,3
SYM,Dòng khác,2008,54678,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,5.0,17
Honda,Air Blade,2008,35000,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,8.0,17
Honda,Vario,2023,11000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,43.5,2
Honda,Future,2004,120000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,13.0,21
Honda,SH Mode,2023,5000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,50.0,2
Yamaha,Exciter,2017,350000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,12.0,8
Honda,Winner X,2019,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,14.0,6
SYM,Attila,2010,6000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,1.7,15
Honda,Wave,2012,2000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,11.0,13
SYM,Elizabeth,2010,40000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,3.9,15
Honda,Air Blade,2011,37855,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,8.5,14
Suzuki,Hayate,2008,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,3.5,17
Honda,Dòng khác,2002,40000,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,4.2,23
Honda,Winner X,2019,25000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,20.0,6
Yamaha,Sirius,2019,34500,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,11.0,6
Hãng khác,Dòng khác,2015,2528,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,5.0,10
Honda,Dream,1998,20000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,15.5,27
Yamaha,Nvx,2019,20000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,24.0,6
Yamaha,Exciter,2010,123456,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,14.8,15
Honda,Sonic,2019,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,20.3,6
Honda,Wave,2011,423568,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,7.0,14
Yamaha,XSR,2022,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,57.0,3
Honda,Vario,2024,11,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,38.8,1
Honda,SH,2018,26818,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,90.0,7
Honda,Vario,2018,39000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,36.0,7
Piaggio,Vespa,2019,43000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,48.5,6
SYM,Galaxy,2018,55000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,5.0,7
Yamaha,Sirius,2016,66191,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,7.89,9
Yamaha,Exciter,2018,120000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,10.0,7
Honda,SH,2015,66000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,35.0,10
Honda,Air Blade,2018,38000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,35.5,7
Piaggio,Vespa,2018,32000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,44.0,7
Piaggio,Vespa,2017,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,40.0,8
Honda,Vario,2019,29000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,34.5,6
Yamaha,Exciter,2010,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,49.0,15
Yamaha,Exciter,2014,77777,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,5.0,11
Honda,Vision,2017,25536,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,17.0,8
Honda,Wave,2024,29000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,25.0,1
Honda,Air Blade,2014,100000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,12.5,11
Aprilia,SR GT 200,2022,10000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,72.0,3
Honda,Wave,2018,50000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,11.0,7
Yamaha,PG-1,2024,8000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,26.5,1
Honda,Winner,2019,86000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,15.0,6
Honda,Winner,2018,27000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,17.5,7
Yamaha,Exciter,2012,12345,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,10.0,13
Yamaha,Exciter,2013,100000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,11.0,12
Suzuki,Axelo,2017,0,Đã sử dụng,Xe số,Trên 175 cc,Nhật Bản,6.0,8
Honda,Air Blade,2012,35,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,11.0,13
Honda,Blade,2017,44444,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,8.0,8
Honda,Winner X,2023,16200,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,25.5,2
Honda,Vision,2013,20000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,12.5,12
Honda,Winner X,2022,22000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,20.0,3
Honda,MSX 125,2012,275000,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,11.0,13
Honda,Wave,2011,123456,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,3.3,14
Yamaha,Janus,2022,180000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,19.2,3
Hãng khác,Dòng khác,2014,123456,Đã sử dụng,Xe số,100 - 175 cc,Hàn Quốc,4.7,11
Yamaha,Sirius,2010,999999,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,8.0,15
Honda,Cub,1996,999,Đã sử dụng,Xe số,Dưới 50 cc,Việt Nam,9.8,29
Yamaha,Nouvo,2014,10000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,5.2,11
Piaggio,Liberty,2012,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,7.9,13
Honda,Air Blade,2011,29000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,15.5,14
Honda,Air Blade,2008,123456,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,6.7,17
Honda,Cub,2009,100000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,1.0,16
Hãng khác,Dòng khác,2023,10000,Đã sử dụng,Tay ga,Dưới 50 cc,Đang cập nhật,12.0,2
Honda,Wave,2009,55000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,5.5,16
Honda,Air Blade,2016,120000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,18.0,9
Yamaha,Nouvo,2013,89000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.0,12
Honda,Air Blade,2015,123456,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,13.5,10
Yamaha,Mio,2010,123456,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,4.6,15
Honda,Wave,2008,0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,6.7,17
Honda,Vision,2013,10000,Đã sử dụng,Tay ga,50 - 100 cc,Nhật Bản,11.5,12
Honda,Future,2009,74000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,8.0,16
Suzuki,Sport / Xipo,1998,0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,230.0,27
Yamaha,Nouvo,2015,9000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,10.5,10
Honda,Winner,2018,3500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,13.5,7
Honda,Vario,2021,16000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,30.0,4
Honda,Wave,2018,50000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,10.7,7
Honda,Air Blade,2023,16000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,33.5,2
Honda,Air Blade,2018,65000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,23.0,7
Kawasaki,Z1000,2012,123456,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,89.0,13
Honda,Wave,2000,86532,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,3.2,25
Daelim,Dòng khác,2000,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,8.6,25
Yamaha,Jupiter,2014,0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,6.9,11
Honda,Wave,2010,6000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,2.5,15
Honda,Dream,1996,12345,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,6.8,29
Honda,Air Blade,2009,9999,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,11.2,16
Honda,Wave,2022,12150,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,15.7,3
Hãng khác,Dòng khác,2007,40000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,3.5,18
Honda,Wave,2010,60000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,2.7,15
Piaggio,Vespa,2019,20000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,45.0,6
Honda,Sonic,2019,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,20.0,6
Yamaha,Nouvo,2013,99999,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,6.5,12
Yamaha,Janus,2018,32000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,13.0,7
Honda,Air Blade,2009,123456,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,6.6,16
Honda,Wave,2004,100000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,9.8,21
Honda,Winner X,2023,15,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,28.0,2
Piaggio,Vespa,2018,8500,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,47.0,7
Yamaha,Sirius,2021,21000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,10.3,4
Suzuki,Hayate,2009,800000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,2.6,16
Honda,Air Blade,2007,770000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,10.5,18
Honda,Air Blade,2017,590000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,8.7,8
Honda,SH Mode,2018,3700,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,37.0,7
Yamaha,Luvias,2016,60000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,12.0,9
Honda,Air Blade,2009,35000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,15.0,16
Honda,Air Blade,2010,100000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,10.5,15
Honda,Wave,2014,60000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,7.3,11
Kawasaki,W175,2019,4329,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,44.9,6
Honda,Air Blade,2014,1234,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,13.5,11
Honda,Air Blade,2014,180000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,15.5,11
Hãng khác,Dòng khác,2015,2000,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,2.2,10
Yamaha,Dòng khác,2024,0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,35.0,1
Honda,Dòng khác,2009,40000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,27.0,16
Yamaha,YAZ,2019,21000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,33.0,6
Honda,Wave,2005,250000,Đã sử dụng,Xe số,50 - 100 cc,Đài Loan,4.6,20
Yamaha,Exciter,2020,0,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,7.0,5
Honda,CBR,2022,2450,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,40.0,3
Honda,Air Blade,2014,48000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,10.7,11
Suzuki,Raider,2016,400000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,11.5,9
SYM,Attila,2013,6000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,1.2,12
Yamaha,Exciter,2019,260000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,28.8,6
Honda,SH,2005,40000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,48.0,20
Honda,Spacy,2006,1000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,7.0,19
Honda,Future,2010,90000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,28.0,15
Yamaha,Sirius,2017,58000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,9.0,8
Honda,Air Blade,2015,100000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,16.0,10
Yamaha,Exciter,2012,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,13.5,13
Honda,SH,2022,123456,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,38.0,3
Kawasaki,Z125,2016,160000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,22.5,9
Honda,SH Mode,2018,80000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,40.0,7
Yamaha,Sirius,2009,50000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,6.0,16
Yamaha,Sirius,2015,48000,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,1.5,10
Ducati,Hypermotard,2024,38000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,200.0,1
Kawasaki,Z1000,2016,30000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,188.0,9
Honda,Air Blade,2017,123459,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,26.5,8
Honda,Air Blade,2019,29000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,27.5,6
Honda,SCR,2006,40000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,2.5,19
Honda,Air Blade,2008,6000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,6.5,17
Honda,Air Blade,2012,100000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,8.0,13
Honda,Wave,2008,20000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,6.0,17
Honda,Wave,2016,98000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,12.5,9
Honda,SH,2015,18000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,58.0,10
Honda,Dòng khác,2001,12851,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,7.0,24
Piaggio,Vespa,2008,10000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,6.5,17
Ducati,Scrambler,2016,44000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,125.0,9
Honda,Wave,2018,50000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,11.3,7
Honda,Air Blade,2024,1600,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,42.0,1
Honda,SH,2018,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,68.2,7
KTM,Duke 200,2020,330000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,34.0,5
Honda,Dòng khác,1995,20000,Đã sử dụng,Xe số,100 - 175 cc,Nước khác,15.0,30
Hãng khác,Dòng khác,2012,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,7.5,13
Honda,Dylan,2007,35000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,17.5,18
Yamaha,Nouvo,2013,57000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,5.3,12
Yamaha,Mio,2024,90000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,5.2,1
Yamaha,Exciter,2017,92000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,16.5,8
Yamaha,Sirius,2010,10000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,6.8,15
Honda,Click,2008,123456,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,6.5,17
Yamaha,Nouvo,2006,10000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,1.5,19
Yamaha,Taurus,2009,70000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,5.7,16
Yamaha,Taurus,2009,60000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,5.7,16
Yamaha,Exciter,2022,36,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,30.5,3
Honda,Dream,1997,10000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,13.5,28
Honda,Blade,2017,40000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,12.5,8
Honda,SH,2021,18000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,77.0,4
Yamaha,Janus,2023,12000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,23.0,2
Suzuki,Sport / Xipo,2000,36000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,250.0,25
Honda,Vision,2018,19000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,19.5,7
Yamaha,Sirius,2015,164530,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,8.4,10
Piaggio,Liberty,2013,54000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,10.2,12
Honda,Wave,2021,18000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,13.0,4
Honda,Wave,2022,15000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,14.0,3
Yamaha,XSR,2024,5300,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,68.0,1
Honda,Dream,2001,200000,Đã sử dụng,Xe số,50 - 100 cc,Nước khác,6.8,24
Honda,Air Blade,2018,55000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,20.0,7
SYM,Elizabeth,2016,40000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,15.0,9
Yamaha,Exciter,2020,18000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,23.0,5
Honda,Citi,2001,20000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,3.2,24
Yamaha,Janus,2016,45000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,10.0,9
Hãng khác,Dòng khác,2001,30000,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,4.8,24
Yamaha,Jupiter,2003,200000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,4.7,22
Yamaha,Dòng khác,2019,23000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,26.0,6
Honda,Air Blade,2013,1230,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,14.5,12
Honda,Dream,2003,100000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,8.0,22
Honda,Future,2000,0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,8.5,25
Honda,Future,2016,20000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,13.5,9
Honda,Vario,2020,28000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,36.5,5
Honda,Air Blade,2018,150000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,21.0,7
Yamaha,Nouvo,2017,46000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,12.0,8
Yamaha,Jupiter,2010,50000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,4.0,15
Hãng khác,Dòng khác,2000,40000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,3.6,25
Honda,Air Blade,2012,0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,9.3,13
Honda,Winner,2020,50000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,16.0,5
Hãng khác,Dòng khác,2025,600000,Đã sử dụng,Xe số,50 - 100 cc,Đài Loan,2.0,0
Honda,PCX,2012,100,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,17.5,13
Piaggio,Vespa,2022,5600,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,70.0,3
Yamaha,Sirius,2020,100000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,13.5,5
Honda,SH,2025,1,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,85.0,0
Honda,Air Blade,2009,12356,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,5.9,16
Suzuki,Hayate,2012,0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,4.9,13
Honda,Air Blade,2020,8000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,37.0,5
Honda,Wave,2010,0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,3.0,15
Honda,Air Blade,2011,168000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,12.5,14
Honda,Air Blade,2020,8000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,36.0,5
Honda,Wave,2004,56789,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,21.0,21
Yamaha,Nouvo,2016,50,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,1.95,9
Piaggio,Vespa,2018,42000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,41.0,7
Honda,SH,2012,35000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,205.0,13
Yamaha,XSR,2020,34000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,60.0,5
Honda,SH,2021,11000,Đã sử dụng,Tay ga,Trên 175 cc,Đang cập nhật,115.0,4
Suzuki,Axelo,2015,61000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,7.0,10
Suzuki,Satria,2024,3000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,30.0,1
Suzuki,Xbike,2011,8000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,4.5,14
Honda,Lead,2019,13320,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,26.0,6
Honda,Dream,1999,1000,Đã sử dụng,Xe số,100 - 175 cc,Hàn Quốc,16.8,26
Yamaha,Jupiter,2009,56000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,8.5,16
Honda,Cub,2023,16383,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,8.0,2
Yamaha,Nouvo,2012,50,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,3.5,13
Yamaha,Nouvo,2011,56789,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,4.8,14
Honda,Air Blade,2011,54000,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,15.8,14
Yamaha,Exciter,2012,34000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,10.0,13
Yamaha,Exciter,2012,34000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,10.5,13
Suzuki,Raider,2020,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,23.0,5
Honda,Air Blade,2016,15000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,16.8,9
Honda,Winner X,2023,9000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,26.5,2
Yamaha,Nouvo,2012,100000,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,3.0,13
Honda,Lead,2014,67950,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,17.5,11
Honda,Lead,2012,90000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,6.0,13
Yamaha,Mio,2025,0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,6.8,0
Suzuki,GSX,2019,6900,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,28.0,6
Honda,Future,2009,84000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,52.0,16
Yamaha,Sirius,2018,0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,8.0,7
Honda,Winner,2017,99999,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,13.5,8
Honda,Cub,1993,40000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,7.8,32
Yamaha,Exciter,2025,2500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,39.0,0
Piaggio,Liberty,2014,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,8.3,11
Yamaha,Exciter,2024,1233,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,37.0,1
Honda,Blade,2015,44000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,10.0,10
Honda,ADV 150,2025,123456,Đã sử dụng,Xe số,100 - 175 cc,Mỹ,3.8,0
Yamaha,Exciter,2016,235345,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,13.5,9
Yamaha,Sirius,2018,19825,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,4.5,7
Honda,Wave,2009,10000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,4.3,16
Honda,Air Blade,2012,20000,Đã sử dụng,Tay ga,Trên 175 cc,Mỹ,9.3,13
SYM,Attila,2011,10000,Đã sử dụng,Tay ga,50 - 100 cc,Đài Loan,5.5,14
SYM,Attila,2010,100000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,4.5,15
Piaggio,Vespa,2014,350000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,17.9,11
Honda,Wave,2012,25000,Đã sử dụng,Tay ga,50 - 100 cc,Nhật Bản,4.5,13
Piaggio,GTS,2021,9600,Đã sử dụng,Tay ga,Trên 175 cc,Đang cập nhật,91.0,4
Honda,Wave,2006,65224,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,9.6,19
Honda,Air Blade,2015,28000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,16.3,10
Yamaha,Sirius,2014,39999,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,10.0,11
